,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
139,supply,10/3/14 12:30,(ok),0:01:00,OK,0.3,93069,,0.5,5879,,1,577,,2.5,32,,5,6,,10,1,,OK,0.1,N/A,0
140,supply,10/3/14 12:31,(ok),0:01:00,OK,0.3,93304,,0.5,5719,,1,595,,2.5,37,,5,7,,10,0,,OK,0.1,N/A,0
141,supply,10/3/14 12:32,(ok),0:01:00,OK,0.3,94100,,0.5,5825,,1,568,,2.5,37,,5,6,,10,0,,OK,0.1,N/A,0
142,supply,10/3/14 12:33,(ok),0:01:00,OK,0.3,95384,,0.5,5904,,1,578,,2.5,31,,5,1,,10,1,,OK,0.1,N/A,0
143,supply,10/3/14 12:34,(ok),0:01:00,OK,0.3,98681,,0.5,6030,,1,551,,2.5,30,,5,9,,10,0,,OK,0.1,N/A,0
144,supply,10/3/14 12:35,(ok),0:01:00,OK,0.3,96737,,0.5,5854,,1,548,,2.5,32,,5,10,,10,0,,OK,0.1,N/A,0
145,supply,10/3/14 12:36,(ok),0:01:00,OK,0.3,98062,,0.5,5936,,1,552,,2.5,28,,5,7,,10,0,,OK,0.1,N/A,0
146,supply,10/3/14 12:37,(ok),0:01:00,OK,0.3,100073,,0.5,5994,,1,561,,2.5,36,,5,7,,10,0,,OK,0.1,N/A,0
147,supply,10/3/14 12:38,(ok),0:01:00,OK,0.3,100127,,0.5,6082,,1,530,,2.5,44,,5,7,,10,0,,OK,0.1,N/A,0
148,supply,10/3/14 12:39,(ok),0:01:00,OK,0.3,101019,,0.5,5905,,1,544,,2.5,31,,5,4,,10,0,,OK,0.1,N/A,0
149,supply,10/3/14 12:40,(ok),0:01:00,OK,0.3,101886,,0.5,6220,,1,567,,2.5,27,,5,7,,10,0,,OK,0.1,N/A,0
150,supply,10/3/14 12:41,(ok),0:01:00,OK,0.3,102585,,0.5,6269,,1,556,,2.5,25,,5,4,,10,0,,OK,0.1,N/A,0
151,supply,10/3/14 12:42,(ok),0:01:00,OK,0.3,104742,,0.5,6279,,1,556,,2.5,37,,5,4,,10,0,,OK,0.1,N/A,0
152,supply,10/3/14 12:43,(ok),0:01:00,OK,0.3,103358,,0.5,6150,,1,564,,2.5,31,,5,2,,10,0,,OK,0.1,N/A,0
153,supply,10/3/14 12:44,(ok),0:01:00,OK,0.3,105050,,0.5,6422,,1,516,,2.5,23,,5,3,,10,0,,OK,0.1,N/A,0
154,supply,10/3/14 12:45,(ok),0:01:00,OK,0.3,107996,,0.5,6563,,1,558,,2.5,31,,5,8,,10,0,,OK,0.1,N/A,0
155,supply,10/3/14 12:46,(ok),0:01:00,OK,0.3,105487,,0.5,6498,,1,535,,2.5,28,,5,5,,10,0,,OK,0.1,N/A,0
156,supply,10/3/14 12:47,(ok),0:01:00,OK,0.3,104965,,0.5,6378,,1,542,,2.5,23,,5,7,,10,0,,OK,0.1,N/A,0
157,supply,10/3/14 12:48,(ok),0:01:00,OK,0.3,105165,,0.5,6316,,1,505,,2.5,21,,5,1,,10,0,,OK,0.1,N/A,0
158,supply,10/3/14 12:49,(ok),0:01:00,OK,0.3,107459,,0.5,6361,,1,551,,2.5,33,,5,3,,10,0,,OK,0.1,N/A,0
159,supply,10/3/14 12:50,(ok),0:01:00,OK,0.3,111089,,0.5,6568,,1,544,,2.5,29,,5,7,,10,1,,OK,0.1,N/A,0
160,supply,10/3/14 12:51,(ok),0:01:00,OK,0.3,107206,,0.5,6544,,1,533,,2.5,27,,5,3,,10,0,,OK,0.1,N/A,0
161,supply,10/3/14 12:52,(ok),0:01:00,OK,0.3,108136,,0.5,6484,,1,506,,2.5,23,,5,3,,10,0,,OK,0.1,N/A,0
162,supply,10/3/14 12:53,(ok),0:01:00,OK,0.3,111363,,0.5,6767,,1,519,,2.5,22,,5,3,,10,0,,OK,0.1,N/A,0
163,supply,10/3/14 12:54,(ok),0:01:00,OK,0.3,113254,,0.5,6883,,1,538,,2.5,28,,5,2,,10,0,,OK,0.1,N/A,0
164,supply,10/3/14 12:55,(ok),0:01:00,OK,0.3,111239,,0.5,6639,,1,524,,2.5,29,,5,6,,10,0,,OK,0.1,N/A,0
165,supply,10/3/14 12:56,(ok),0:01:00,OK,0.3,111076,,0.5,6702,,1,556,,2.5,25,,5,5,,10,1,,OK,0.1,N/A,0
166,supply,10/3/14 12:57,(ok),0:01:00,OK,0.3,110826,,0.5,6693,,1,504,,2.5,32,,5,4,,10,0,,OK,0.1,N/A,0
167,supply,10/3/14 12:58,(ok),0:01:00,OK,0.3,114604,,0.5,7015,,1,514,,2.5,30,,5,7,,10,0,,OK,0.1,N/A,0
168,supply,10/3/14 12:59,(ok),0:01:00,OK,0.3,113445,,0.5,6750,,1,520,,2.5,31,,5,1,,10,0,,OK,0.1,N/A,0
169,supply,10/3/14 13:00,(ok),0:01:00,OK,0.3,116725,,0.5,7091,,1,498,,2.5,22,,5,5,,10,0,,OK,0.1,N/A,0
170,supply,10/3/14 13:01,(ok),0:01:00,OK,0.3,116612,,0.5,6974,,1,507,,2.5,12,,5,4,,10,0,,OK,0.1,N/A,0
171,supply,10/3/14 13:02,(ok),0:01:00,OK,0.3,116204,,0.5,7114,,1,560,,2.5,25,,5,2,,10,0,,OK,0.1,N/A,0
172,supply,10/3/14 13:03,(ok),0:01:00,OK,0.3,115759,,0.5,7035,,1,503,,2.5,23,,5,4,,10,0,,OK,0.1,N/A,0
173,supply,10/3/14 13:04,(ok),0:01:00,OK,0.3,115384,,0.5,6975,,1,521,,2.5,32,,5,4,,10,0,,OK,0.1,N/A,0
174,supply,10/3/14 13:05,(ok),0:01:00,OK,0.3,123970,,0.5,7471,,1,582,,2.5,27,,5,3,,10,0,,OK,0.1,N/A,0
175,supply,10/3/14 13:06,(ok),0:01:00,OK,0.3,117042,,0.5,7023,,1,500,,2.5,22,,5,4,,10,0,,OK,0.1,N/A,0
176,supply,10/3/14 13:07,(ok),0:01:00,OK,0.3,121847,,0.5,7177,,1,547,,2.5,27,,5,6,,10,1,,OK,0.1,N/A,0
177,supply,10/3/14 13:08,(ok),0:01:00,OK,0.3,118332,,0.5,7195,,1,504,,2.5,27,,5,2,,10,1,,OK,0.1,N/A,0
178,supply,10/3/14 13:09,(ok),0:01:00,OK,0.3,119319,,0.5,7175,,1,507,,2.5,24,,5,2,,10,0,,OK,0.1,N/A,0
179,supply,10/3/14 13:10,(ok),0:01:00,OK,0.3,120712,,0.5,7392,,1,515,,2.5,25,,5,6,,10,1,,OK,0.1,N/A,0
180,supply,10/3/14 13:11,(ok),0:01:00,OK,0.3,121064,,0.5,7451,,1,523,,2.5,23,,5,6,,10,0,,OK,0.1,N/A,0
181,supply,10/3/14 13:12,(ok),0:01:00,OK,0.3,120398,,0.5,7376,,1,515,,2.5,29,,5,3,,10,0,,OK,0.1,N/A,0
182,supply,10/3/14 13:13,(ok),0:01:00,OK,0.3,123023,,0.5,7646,,1,566,,2.5,24,,5,8,,10,0,,OK,0.1,N/A,0
183,supply,10/3/14 13:14,(ok),0:01:00,OK,0.3,126317,,0.5,7699,,1,534,,2.5,22,,5,1,,10,0,,OK,0.1,N/A,0
184,supply,10/3/14 13:15,(ok),0:01:00,OK,0.3,127475,,0.5,7734,,1,541,,2.5,27,,5,4,,10,2,,OK,0.1,N/A,0
185,supply,10/3/14 13:16,(ok),0:01:00,OK,0.3,122767,,0.5,7447,,1,522,,2.5,21,,5,4,,10,0,,OK,0.1,N/A,0
186,supply,10/3/14 13:17,(ok),0:01:00,OK,0.3,129396,,0.5,8010,,1,523,,2.5,29,,5,7,,10,0,,OK,0.1,N/A,0
187,supply,10/3/14 13:18,(ok),0:01:00,OK,0.3,126000,,0.5,7595,,1,536,,2.5,27,,5,2,,10,0,,OK,0.1,N/A,0
188,supply,10/3/14 13:19,(ok),0:01:00,OK,0.3,123238,,0.5,7566,,1,499,,2.5,19,,5,4,,10,0,,OK,0.1,N/A,0
189,supply,10/3/14 13:20,(ok),0:01:00,OK,0.3,124650,,0.5,7722,,1,501,,2.5,21,,5,5,,10,1,,OK,0.1,N/A,0
190,supply,10/3/14 13:21,(ok),0:01:00,OK,0.3,127461,,0.5,7853,,1,489,,2.5,23,,5,3,,10,0,,OK,0.1,N/A,0
191,supply,10/3/14 13:22,(ok),0:01:00,OK,0.3,125304,,0.5,7663,,1,540,,2.5,26,,5,6,,10,0,,OK,0.1,N/A,0
192,supply,10/3/14 13:23,(ok),0:01:00,OK,0.3,128593,,0.5,7887,,1,557,,2.5,31,,5,0,,10,0,,OK,0.1,N/A,0
193,supply,10/3/14 13:24,(ok),0:01:00,OK,0.3,124535,,0.5,7596,,1,510,,2.5,25,,5,3,,10,0,,OK,0.1,N/A,0
194,supply,10/3/14 13:25,(ok),0:01:00,OK,0.3,130298,,0.5,8060,,1,526,,2.5,24,,5,7,,10,0,,OK,0.1,N/A,0
195,supply,10/3/14 13:26,(ok),0:01:00,OK,0.3,129490,,0.5,8025,,1,564,,2.5,29,,5,5,,10,0,,OK,0.1,N/A,0
196,supply,10/3/14 13:27,(ok),0:01:00,OK,0.3,130452,,0.5,7996,,1,527,,2.5,29,,5,1,,10,0,,OK,0.1,N/A,0
197,supply,10/3/14 13:28,(ok),0:01:00,OK,0.3,136399,,0.5,8428,,1,570,,2.5,22,,5,4,,10,0,,OK,0.1,N/A,0
198,supply,10/3/14 13:29,(ok),0:01:00,OK,0.3,141340,,0.5,8889,,1,561,,2.5,19,,5,5,,10,0,,OK,0.1,N/A,0
199,supply,10/3/14 13:30,(ok),0:01:00,OK,0.3,145269,,0.5,9132,,1,616,,2.5,35,,5,8,,10,0,,OK,0.1,N/A,0
200,supply,10/3/14 13:31,(ok),0:01:00,OK,0.3,143100,,0.5,8970,,1,587,,2.5,27,,5,4,,10,0,,OK,0.1,N/A,0
201,supply,10/3/14 13:32,(ok),0:01:00,OK,0.3,90607,,0.5,5980,,1,600,,2.5,33,,5,8,,10,1,,OK,0.1,N/A,0
202,supply,10/3/14 13:33,(ok),0:01:00,OK,0.3,98033,,0.5,9198,,1,2470,,2.5,412,,5,152,,10,12,,OK,0.1,N/A,0
203,supply,10/3/14 13:34,(ok),0:01:00,OK,0.3,98332,,0.5,9554,,1,2459,,2.5,403,,5,143,,10,14,,OK,0.1,N/A,0
204,supply,10/3/14 13:35,(ok),0:01:00,OK,0.3,102928,,0.5,10288,,1,2412,,2.5,355,,5,115,,10,12,,OK,0.1,N/A,0
205,supply,10/3/14 13:36,(ok),0:01:00,OK,0.3,104875,,0.5,9717,,1,2328,,2.5,361,,5,107,,10,10,,OK,0.1,N/A,0
206,supply,10/3/14 13:37,(ok),0:01:00,OK,0.3,114717,,0.5,10252,,1,2487,,2.5,381,,5,131,,10,14,,OK,0.1,N/A,0
207,supply,10/3/14 13:38,(ok),0:01:00,OK,0.3,109354,,0.5,10670,,1,2168,,2.5,307,,5,109,,10,7,,OK,0.1,N/A,0
208,supply,10/3/14 13:39,(ok),0:01:00,OK,0.3,91238,,0.5,8387,,1,1998,,2.5,321,,5,87,,10,4,,OK,0.1,N/A,0
209,supply,10/3/14 13:40,(ok),0:01:00,OK,0.3,87265,,0.5,7755,,1,1751,,2.5,217,,5,72,,10,5,,OK,0.1,N/A,0
210,supply,10/3/14 13:41,(ok),0:01:00,OK,0.3,91890,,0.5,8793,,1,2014,,2.5,298,,5,89,,10,11,,OK,0.1,N/A,0
211,supply,10/3/14 13:42,(ok),0:01:00,OK,0.3,118038,,0.5,11441,,1,2495,,2.5,353,,5,98,,10,11,,OK,0.1,N/A,0
212,supply,10/3/14 13:43,(ok),0:01:00,OK,0.3,96470,,0.5,9412,,1,2503,,2.5,371,,5,134,,10,9,,OK,0.1,N/A,0
213,supply,10/3/14 13:44,(ok),0:01:00,OK,0.3,97644,,0.5,9798,,1,2641,,2.5,437,,5,153,,10,13,,OK,0.1,N/A,0
214,supply,10/3/14 13:45,(ok),0:01:00,OK,0.3,101156,,0.5,10033,,1,2496,,2.5,387,,5,137,,10,17,,OK,0.1,N/A,0
215,supply,10/3/14 13:46,(ok),0:01:00,OK,0.3,97580,,0.5,9560,,1,2536,,2.5,405,,5,148,,10,16,,OK,0.1,N/A,0
216,supply,10/3/14 13:47,(ok),0:01:00,OK,0.3,94895,,0.5,9224,,1,2461,,2.5,379,,5,144,,10,10,,OK,0.1,N/A,0
217,supply,10/3/14 13:48,(ok),0:01:00,OK,0.3,115298,,0.5,10128,,1,2678,,2.5,427,,5,133,,10,12,,OK,0.1,N/A,0
218,supply,10/3/14 13:49,(ok),0:01:00,OK,0.3,105365,,0.5,9824,,1,2507,,2.5,426,,5,144,,10,5,,OK,0.1,N/A,0
219,supply,10/3/14 13:50,(ok),0:01:00,OK,0.3,105487,,0.5,10997,,1,2817,,2.5,390,,5,127,,10,5,,OK,0.1,N/A,0
220,supply,10/3/14 13:51,(ok),0:01:00,OK,0.3,101861,,0.5,11092,,1,2608,,2.5,341,,5,116,,10,5,,OK,0.1,N/A,0
221,supply,10/3/14 13:52,(ok),0:01:00,OK,0.3,100803,,0.5,10290,,1,2543,,2.5,380,,5,92,,10,6,,OK,0.1,N/A,0
222,supply,10/3/14 13:53,(ok),0:01:00,OK,0.3,97773,,0.5,9412,,1,2328,,2.5,319,,5,119,,10,8,,OK,0.1,N/A,0
223,supply,10/3/14 13:54,(ok),0:01:00,OK,0.3,94306,,0.5,9206,,1,2399,,2.5,366,,5,111,,10,13,,OK,0.1,N/A,0
224,supply,10/3/14 13:55,(ok),0:01:00,OK,0.3,95193,,0.5,9425,,1,2323,,2.5,350,,5,108,,10,6,,OK,0.1,N/A,0
225,supply,10/3/14 13:56,(ok),0:01:00,OK,0.3,95092,,0.5,9319,,1,2319,,2.5,342,,5,111,,10,6,,OK,0.1,N/A,0
226,supply,10/3/14 13:57,(ok),0:01:00,OK,0.3,90985,,0.5,9099,,1,2287,,2.5,346,,5,108,,10,4,,OK,0.1,N/A,0
227,supply,10/3/14 13:58,(ok),0:01:00,OK,0.3,90801,,0.5,8575,,1,2248,,2.5,342,,5,132,,10,7,,OK,0.1,N/A,0
228,supply,10/3/14 13:59,(ok),0:01:00,OK,0.3,96228,,0.5,9808,,1,2313,,2.5,310,,5,101,,10,6,,OK,0.1,N/A,0
229,supply,10/3/14 14:00,(ok),0:01:00,OK,0.3,91772,,0.5,9085,,1,2196,,2.5,323,,5,99,,10,8,,OK,0.1,N/A,0
230,supply,10/3/14 14:01,(ok),0:01:00,OK,0.3,89496,,0.5,8265,,1,2038,,2.5,316,,5,105,,10,4,,OK,0.1,N/A,0
231,supply,10/3/14 14:02,(ok),0:01:00,OK,0.3,91198,,0.5,8564,,1,2172,,2.5,322,,5,103,,10,8,,OK,0.1,N/A,0
232,supply,10/3/14 14:03,(ok),0:01:00,OK,0.3,96055,,0.5,9008,,1,2330,,2.5,346,,5,125,,10,12,,OK,0.1,N/A,0
233,supply,10/3/14 14:04,(ok),0:01:00,OK,0.3,93484,,0.5,8915,,1,2443,,2.5,363,,5,115,,10,16,,OK,0.1,N/A,0
234,supply,10/3/14 14:05,(ok),0:01:00,OK,0.3,94326,,0.5,8993,,1,2401,,2.5,365,,5,136,,10,10,,OK,0.1,N/A,0
235,supply,10/3/14 14:06,(ok),0:01:00,OK,0.3,109582,,0.5,10133,,1,2511,,2.5,388,,5,128,,10,12,,OK,0.1,N/A,0
236,supply,10/3/14 14:07,(ok),0:01:00,OK,0.3,94754,,0.5,8423,,1,2007,,2.5,277,,5,99,,10,8,,OK,0.1,N/A,0
237,supply,10/3/14 14:08,(ok),0:01:00,OK,0.3,82740,,0.5,7286,,1,1616,,2.5,218,,5,66,,10,8,,OK,0.1,N/A,0
238,supply,10/3/14 14:09,(ok),0:01:00,OK,0.3,87715,,0.5,8112,,1,2156,,2.5,306,,5,99,,10,10,,OK,0.1,N/A,0
239,supply,10/3/14 14:10,(ok),0:01:00,OK,0.3,86821,,0.5,8172,,1,2047,,2.5,357,,5,105,,10,6,,OK,0.1,N/A,0
240,supply,10/3/14 14:11,(ok),0:01:00,OK,0.3,100482,,0.5,8513,,1,2121,,2.5,330,,5,128,,10,6,,OK,0.1,N/A,0
241,supply,10/3/14 14:12,(ok),0:01:00,OK,0.3,97561,,0.5,8755,,1,2335,,2.5,356,,5,109,,10,13,,OK,0.1,N/A,0
242,supply,10/3/14 14:13,(ok),0:01:00,OK,0.3,99730,,0.5,8734,,1,2239,,2.5,354,,5,129,,10,12,,OK,0.1,N/A,0
243,supply,10/3/14 14:14,(ok),0:01:00,OK,0.3,103877,,0.5,9626,,1,2380,,2.5,379,,5,130,,10,13,,OK,0.1,N/A,0
244,supply,10/3/14 14:15,(ok),0:01:00,OK,0.3,104992,,0.5,9712,,1,2426,,2.5,390,,5,116,,10,10,,OK,0.1,N/A,0
245,supply,10/3/14 14:16,(ok),0:01:00,OK,0.3,94782,,0.5,8659,,1,2186,,2.5,340,,5,121,,10,9,,OK,0.1,N/A,0
246,supply,10/3/14 14:17,(ok),0:01:00,OK,0.3,93135,,0.5,8509,,1,2149,,2.5,350,,5,115,,10,11,,OK,0.1,N/A,0
247,supply,10/3/14 14:18,(ok),0:01:00,OK,0.3,95098,,0.5,8700,,1,2282,,2.5,395,,5,151,,10,17,,OK,0.1,N/A,0
248,supply,10/3/14 14:19,(ok),0:01:00,OK,0.3,95386,,0.5,8994,,1,2211,,2.5,312,,5,103,,10,12,,OK,0.1,N/A,0
249,supply,10/3/14 14:20,(ok),0:01:00,OK,0.3,91159,,0.5,8382,,1,1860,,2.5,325,,5,87,,10,7,,OK,0.1,N/A,0
250,supply,10/3/14 14:21,(ok),0:01:00,OK,0.3,96587,,0.5,8890,,1,2192,,2.5,326,,5,104,,10,8,,OK,0.1,N/A,0
251,supply,10/3/14 14:22,(ok),0:01:00,OK,0.3,94462,,0.5,8487,,1,2011,,2.5,314,,5,103,,10,9,,OK,0.1,N/A,0
252,supply,10/3/14 14:23,(ok),0:01:00,OK,0.3,94965,,0.5,8509,,1,1978,,2.5,278,,5,102,,10,7,,OK,0.1,N/A,0
253,supply,10/3/14 14:24,(ok),0:01:00,OK,0.3,97504,,0.5,8792,,1,2096,,2.5,312,,5,99,,10,8,,OK,0.1,N/A,0
254,supply,10/3/14 14:25,(ok),0:01:00,OK,0.3,94871,,0.5,8318,,1,1961,,2.5,299,,5,102,,10,10,,OK,0.1,N/A,0
255,supply,10/3/14 14:26,(ok),0:01:00,OK,0.3,93849,,0.5,7694,,1,1815,,2.5,273,,5,96,,10,12,,OK,0.1,N/A,0
256,supply,10/3/14 14:27,(ok),0:01:00,OK,0.3,100851,,0.5,7745,,1,1975,,2.5,293,,5,118,,10,6,,OK,0.1,N/A,0
257,supply,10/3/14 14:28,(ok),0:01:00,OK,0.3,106021,,0.5,8391,,1,1959,,2.5,342,,5,89,,10,5,,OK,0.1,N/A,0
258,supply,10/3/14 14:29,(ok),0:01:00,OK,0.3,128370,,0.5,10832,,1,1973,,2.5,333,,5,91,,10,4,,OK,0.1,N/A,0
259,supply,10/3/14 14:30,(ok),0:01:00,OK,0.3,115062,,0.5,9254,,1,1970,,2.5,268,,5,107,,10,12,,OK,0.1,N/A,0
260,supply,10/3/14 14:31,(ok),0:01:00,OK,0.3,99225,,0.5,7902,,1,1736,,2.5,254,,5,85,,10,8,,OK,0.1,N/A,0
261,supply,10/3/14 14:32,(ok),0:01:00,OK,0.3,87070,,0.5,6982,,1,1619,,2.5,247,,5,73,,10,13,,OK,0.1,N/A,0
262,supply,10/3/14 14:33,(ok),0:01:00,OK,0.3,100372,,0.5,7876,,1,1895,,2.5,276,,5,81,,10,9,,OK,0.1,N/A,0
263,supply,10/3/14 14:34,(ok),0:01:00,OK,0.3,97497,,0.5,8377,,1,2030,,2.5,296,,5,86,,10,12,,OK,0.1,N/A,0
264,supply,10/3/14 14:35,(ok),0:01:00,OK,0.3,94214,,0.5,8513,,1,2079,,2.5,311,,5,92,,10,5,,OK,0.1,N/A,0
265,supply,10/3/14 14:36,(ok),0:01:00,OK,0.3,96984,,0.5,7968,,1,1892,,2.5,297,,5,116,,10,14,,OK,0.1,N/A,0
266,supply,10/3/14 14:37,(ok),0:01:00,OK,0.3,107568,,0.5,11227,,1,2513,,2.5,377,,5,122,,10,10,,OK,0.1,N/A,0
267,supply,10/3/14 14:38,(ok),0:01:00,OK,0.3,99134,,0.5,9120,,1,2173,,2.5,330,,5,108,,10,6,,OK,0.1,N/A,0
268,supply,10/3/14 14:39,(ok),0:01:00,OK,0.3,91829,,0.5,8231,,1,2108,,2.5,309,,5,97,,10,5,,OK,0.1,N/A,0
269,supply,10/3/14 14:40,(ok),0:01:00,OK,0.3,86747,,0.5,7461,,1,1814,,2.5,288,,5,111,,10,7,,OK,0.1,N/A,0
270,supply,10/3/14 14:41,(ok),0:01:00,OK,0.3,89857,,0.5,7725,,1,1896,,2.5,275,,5,85,,10,6,,OK,0.1,N/A,0
271,supply,10/3/14 14:42,(ok),0:01:00,OK,0.3,90223,,0.5,7879,,1,2027,,2.5,298,,5,93,,10,10,,OK,0.1,N/A,0
272,supply,10/3/14 14:43,(ok),0:01:00,OK,0.3,114425,,0.5,9911,,1,2027,,2.5,330,,5,138,,10,11,,OK,0.1,N/A,0
273,supply,10/3/14 14:44,(ok),0:01:00,OK,0.3,129342,,0.5,10935,,1,2088,,2.5,341,,5,106,,10,15,,OK,0.1,N/A,0
274,supply,10/3/14 14:45,(ok),0:01:00,OK,0.3,94017,,0.5,8406,,1,2040,,2.5,324,,5,103,,10,6,,OK,0.1,N/A,0
275,supply,10/3/14 14:46,(ok),0:01:00,OK,0.3,93048,,0.5,8424,,1,2133,,2.5,363,,5,116,,10,9,,OK,0.1,N/A,0
276,supply,10/3/14 14:47,(ok),0:01:00,OK,0.3,91236,,0.5,8107,,1,2110,,2.5,331,,5,108,,10,9,,OK,0.1,N/A,0
277,supply,10/3/14 14:48,(ok),0:01:00,OK,0.3,92098,,0.5,8213,,1,2011,,2.5,306,,5,111,,10,6,,OK,0.1,N/A,0
278,supply,10/3/14 14:49,(ok),0:01:00,OK,0.3,98236,,0.5,8622,,1,2136,,2.5,298,,5,90,,10,9,,OK,0.1,N/A,0
279,supply,10/3/14 14:50,(ok),0:01:00,OK,0.3,92434,,0.5,8173,,1,1982,,2.5,323,,5,125,,10,14,,OK,0.1,N/A,0
280,supply,10/3/14 14:51,(ok),0:01:00,OK,0.3,111014,,0.5,9678,,1,2033,,2.5,294,,5,78,,10,7,,OK,0.1,N/A,0
281,supply,10/3/14 14:52,(ok),0:01:00,OK,0.3,126229,,0.5,11016,,1,1992,,2.5,303,,5,99,,10,16,,OK,0.1,N/A,0
282,supply,10/3/14 14:53,(ok),0:01:00,OK,0.3,110030,,0.5,9787,,1,2067,,2.5,316,,5,100,,10,6,,OK,0.1,N/A,0
283,supply,10/3/14 14:54,(ok),0:01:00,OK,0.3,113547,,0.5,10232,,1,2072,,2.5,330,,5,97,,10,7,,OK,0.1,N/A,0
284,supply,10/3/14 14:55,(ok),0:01:00,OK,0.3,96676,,0.5,8598,,1,2032,,2.5,335,,5,115,,10,10,,OK,0.1,N/A,0
285,supply,10/3/14 14:56,(ok),0:01:00,OK,0.3,91947,,0.5,8163,,1,2003,,2.5,328,,5,106,,10,5,,OK,0.1,N/A,0
286,supply,10/3/14 14:57,(ok),0:01:00,OK,0.3,92566,,0.5,8267,,1,2033,,2.5,314,,5,89,,10,8,,OK,0.1,N/A,0
287,supply,10/3/14 14:58,(ok),0:01:00,OK,0.3,91116,,0.5,8122,,1,2028,,2.5,335,,5,110,,10,8,,OK,0.1,N/A,0
288,supply,10/3/14 14:59,(ok),0:01:00,OK,0.3,95866,,0.5,8863,,1,2034,,2.5,322,,5,124,,10,17,,OK,0.1,N/A,0
289,supply,10/3/14 15:00,(ok),0:01:00,OK,0.3,98934,,0.5,9381,,1,2190,,2.5,358,,5,125,,10,17,,OK,0.1,N/A,0
290,supply,10/3/14 15:01,(ok),0:01:00,OK,0.3,93870,,0.5,8400,,1,2078,,2.5,334,,5,102,,10,12,,OK,0.1,N/A,0
291,supply,10/3/14 15:02,(ok),0:01:00,OK,0.3,94036,,0.5,8245,,1,1872,,2.5,332,,5,104,,10,9,,OK,0.1,N/A,0
292,supply,10/3/14 15:03,(ok),0:01:00,OK,0.3,95038,,0.5,8212,,1,1986,,2.5,319,,5,85,,10,10,,OK,0.1,N/A,0
293,supply,10/3/14 15:04,(ok),0:01:00,OK,0.3,99124,,0.5,8775,,1,2000,,2.5,335,,5,116,,10,9,,OK,0.1,N/A,0
294,supply,10/3/14 15:05,(ok),0:01:00,OK,0.3,102994,,0.5,9242,,1,2057,,2.5,314,,5,109,,10,10,,OK,0.1,N/A,0
295,supply,10/3/14 15:06,(ok),0:01:00,OK,0.3,104468,,0.5,9491,,1,2199,,2.5,312,,5,115,,10,10,,OK,0.1,N/A,0
296,supply,10/3/14 15:07,(ok),0:01:00,OK,0.3,104623,,0.5,11549,,1,2421,,2.5,368,,5,120,,10,4,,OK,0.1,N/A,0
297,supply,10/3/14 15:08,(ok),0:01:00,OK,0.3,92385,,0.5,9049,,1,2233,,2.5,364,,5,102,,10,14,,OK,0.1,N/A,0
298,supply,10/3/14 15:09,(ok),0:01:00,OK,0.3,90031,,0.5,8089,,1,1999,,2.5,322,,5,117,,10,8,,OK,0.1,N/A,0
299,supply,10/3/14 15:10,(ok),0:01:00,OK,0.3,91053,,0.5,8163,,1,2061,,2.5,338,,5,127,,10,15,,OK,0.1,N/A,0
300,supply,10/3/14 15:11,(ok),0:01:00,OK,0.3,92034,,0.5,8457,,1,2005,,2.5,297,,5,117,,10,11,,OK,0.1,N/A,0
301,supply,10/3/14 15:12,(ok),0:01:00,OK,0.3,102005,,0.5,9507,,1,2202,,2.5,340,,5,115,,10,11,,OK,0.1,N/A,0
302,supply,10/3/14 15:13,(ok),0:00:59,OK,0.3,96906,,0.5,8588,,1,2018,,2.5,337,,5,121,,10,7,,OK,0.1,N/A,0
