,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
34,supply,10/3/14 10:45,(ok),0:01:00,OK,0.3,128780,,0.5,10903,,1,2234,,2.5,300,,5,98,,10,8,,OK,0.1,N/A,0
35,supply,10/3/14 10:46,(ok),0:01:00,OK,0.3,125095,,0.5,10467,,1,2054,,2.5,264,,5,73,,10,5,,OK,0.1,N/A,0
36,supply,10/3/14 10:47,(ok),0:01:00,OK,0.3,128209,,0.5,10800,,1,2269,,2.5,300,,5,87,,10,8,,OK,0.1,N/A,0
37,supply,10/3/14 10:48,(ok),0:01:00,OK,0.3,131229,,0.5,11108,,1,2265,,2.5,299,,5,72,,10,4,,OK,0.1,N/A,0
38,supply,10/3/14 10:49,(ok),0:01:00,OK,0.3,136084,,0.5,11546,,1,2255,,2.5,295,,5,112,,10,13,,OK,0.1,N/A,0
39,supply,10/3/14 10:50,(ok),0:01:00,OK,0.3,134792,,0.5,11520,,1,2218,,2.5,316,,5,79,,10,5,,OK,0.1,N/A,0
40,supply,10/3/14 10:51,(ok),0:01:00,OK,0.3,133418,,0.5,11509,,1,2298,,2.5,288,,5,87,,10,7,,OK,0.1,N/A,0
41,supply,10/3/14 10:52,(ok),0:01:00,OK,0.3,132369,,0.5,11488,,1,2366,,2.5,347,,5,109,,10,4,,OK,0.1,N/A,0
42,supply,10/3/14 10:53,(ok),0:01:00,OK,0.3,132423,,0.5,11409,,1,2328,,2.5,338,,5,100,,10,8,,OK,0.1,N/A,0
43,supply,10/3/14 10:54,(ok),0:01:00,OK,0.3,132446,,0.5,11284,,1,2207,,2.5,271,,5,89,,10,4,,OK,0.1,N/A,0
44,supply,10/3/14 10:55,(ok),0:01:00,OK,0.3,133198,,0.5,11370,,1,2257,,2.5,325,,5,103,,10,7,,OK,0.1,N/A,0
45,supply,10/3/14 10:56,(ok),0:01:00,OK,0.3,129774,,0.5,11334,,1,2396,,2.5,337,,5,96,,10,3,,OK,0.1,N/A,0
46,supply,10/3/14 10:57,(ok),0:01:00,OK,0.3,124603,,0.5,10984,,1,2246,,2.5,351,,5,99,,10,10,,OK,0.1,N/A,0
47,supply,10/3/14 10:58,(ok),0:01:00,OK,0.3,128655,,0.5,11557,,1,2570,,2.5,372,,5,119,,10,7,,OK,0.1,N/A,0
48,supply,10/3/14 10:59,(ok),0:01:00,OK,0.3,133503,,0.5,12220,,1,2690,,2.5,376,,5,120,,10,7,,OK,0.1,N/A,0
49,supply,10/3/14 11:00,(ok),0:01:00,OK,0.3,131270,,0.5,12010,,1,2742,,2.5,333,,5,99,,10,10,,OK,0.1,N/A,0
50,supply,10/3/14 11:01,(ok),0:01:00,OK,0.3,134214,,0.5,15336,,1,3256,,2.5,371,,5,101,,10,15,,OK,0.1,N/A,0
51,supply,10/3/14 11:02,(ok),0:01:00,OK,0.3,127366,,0.5,11837,,1,2479,,2.5,318,,5,102,,10,3,,OK,0.1,N/A,0
52,supply,10/3/14 11:03,(ok),0:01:00,OK,0.3,129338,,0.5,11782,,1,2516,,2.5,394,,5,83,,10,8,,OK,0.1,N/A,0
53,supply,10/3/14 11:04,(ok),0:01:00,OK,0.3,125775,,0.5,11191,,1,2344,,2.5,328,,5,105,,10,8,,OK,0.1,N/A,0
54,supply,10/3/14 11:05,(ok),0:01:00,OK,0.3,119576,,0.5,10378,,1,2111,,2.5,275,,5,74,,10,4,,OK,0.1,N/A,0
55,supply,10/3/14 11:06,(ok),0:01:00,OK,0.3,117350,,0.5,10339,,1,2217,,2.5,311,,5,90,,10,6,,OK,0.1,N/A,0
56,supply,10/3/14 11:07,(ok),0:01:00,OK,0.3,114236,,0.5,9707,,1,2069,,2.5,268,,5,85,,10,4,,OK,0.1,N/A,0
57,supply,10/3/14 11:08,(ok),0:01:00,OK,0.3,113075,,0.5,9654,,1,1983,,2.5,255,,5,73,,10,7,,OK,0.1,N/A,0
58,supply,10/3/14 11:09,(ok),0:01:00,OK,0.3,116144,,0.5,10270,,1,2126,,2.5,312,,5,79,,10,5,,OK,0.1,N/A,0
59,supply,10/3/14 11:10,(ok),0:01:00,OK,0.3,115078,,0.5,10048,,1,2082,,2.5,311,,5,92,,10,6,,OK,0.1,N/A,0
60,supply,10/3/14 11:11,(ok),0:01:00,OK,0.3,108609,,0.5,9424,,1,1932,,2.5,266,,5,80,,10,8,,OK,0.1,N/A,0
61,supply,10/3/14 11:12,(ok),0:01:00,OK,0.3,107485,,0.5,9479,,1,2223,,2.5,353,,5,107,,10,14,,OK,0.1,N/A,0
62,supply,10/3/14 11:13,(ok),0:01:00,OK,0.3,109824,,0.5,9798,,1,2311,,2.5,313,,5,125,,10,10,,OK,0.1,N/A,0
63,supply,10/3/14 11:14,(ok),0:01:00,OK,0.3,111940,,0.5,10037,,1,2283,,2.5,310,,5,107,,10,5,,OK,0.1,N/A,0
64,supply,10/3/14 11:15,(ok),0:01:00,OK,0.3,117887,,0.5,10379,,1,2418,,2.5,361,,5,106,,10,6,,OK,0.1,N/A,0
65,supply,10/3/14 11:16,(ok),0:01:00,OK,0.3,120710,,0.5,11176,,1,2669,,2.5,418,,5,132,,10,8,,OK,0.1,N/A,0
66,supply,10/3/14 11:17,(ok),0:01:00,OK,0.3,115348,,0.5,10967,,1,2772,,2.5,385,,5,126,,10,9,,OK,0.1,N/A,0
67,supply,10/3/14 11:18,(ok),0:01:00,OK,0.3,115391,,0.5,10991,,1,2723,,2.5,408,,5,113,,10,3,,OK,0.1,N/A,0
68,supply,10/3/14 11:19,(ok),0:01:00,OK,0.3,116365,,0.5,11000,,1,2798,,2.5,435,,5,137,,10,13,,OK,0.1,N/A,0
69,supply,10/3/14 11:20,(ok),0:01:00,OK,0.3,110667,,0.5,10621,,1,2666,,2.5,404,,5,134,,10,7,,OK,0.1,N/A,0
70,supply,10/3/14 11:21,(ok),0:01:00,OK,0.3,115667,,0.5,11521,,1,3067,,2.5,445,,5,151,,10,7,,OK,0.1,N/A,0
71,supply,10/3/14 11:22,(ok),0:01:00,OK,0.3,113610,,0.5,10763,,1,2946,,2.5,464,,5,139,,10,7,,OK,0.1,N/A,0
72,supply,10/3/14 11:23,(ok),0:01:00,OK,0.3,109864,,0.5,10307,,1,2686,,2.5,392,,5,128,,10,11,,OK,0.1,N/A,0
73,supply,10/3/14 11:24,(ok),0:01:00,OK,0.3,106323,,0.5,9863,,1,2462,,2.5,383,,5,131,,10,9,,OK,0.1,N/A,0
74,supply,10/3/14 11:25,(ok),0:01:00,OK,0.3,107427,,0.5,9857,,1,2514,,2.5,342,,5,100,,10,7,,OK,0.1,N/A,0
75,supply,10/3/14 11:26,(ok),0:01:00,OK,0.3,100761,,0.5,9032,,1,2022,,2.5,284,,5,83,,10,3,,OK,0.1,N/A,0
